,,,,,2018,2019,2020,2021
,,,9. Trái phiếu chuyển đổi,,0,0,0,0,
,,,10. Cổ phiếu ưu đãi (Nợ),,0,0,0,0,
,,,11. Thuế thu nhập hoãn lại phải trả,,0,0,0,0,
,,,12. Dự phòng phải trả dài hạn,,42861,8851,3662,7076,
,,,13. Quỹ phát triển khoa học và công nghệ,,0,0,0,0,
,,,14. Dự phòng trợ cấp mất việc làm,,0,0,0,0,
,B. VỐN CHỦ SỞ HỮU,,,,6012634,5241862,4577266,3745073,
,,I. Vốn chủ sở hữu,,,6012634,5241862,4577266,3745073,
,,,1. Vốn góp của chủ sở hữu,,2276124,2276124,2252936,1670030,
,,,,- Cổ phiếu phổ thông có quyền biểu quyết,2276124,2276124,2252936,1670030,
,,,,- Cổ phiếu ưu đãi,0,0,0,0,
,,,2. Thặng dư vốn cổ phần,,991262,991262,968074,925398,
,,,3. Quyền chọn chuyển đổi trái phiếu,,0,0,0,0,
,,,4. Vốn khác của chủ sở hữu,,0,0,0,0,
,,,5. Cổ phiếu quỹ (*),,-4909,-3384,-2101,-7,
,,,6. Chênh lệch đánh giá lại tài sản,,0,0,0,0,
,,,7. Chênh lệch tỷ giá hối đoái,,0,0,0,0,
,,,8. Quỹ đầu tư phát triển,,800504,372780,313084,265088,
,,,9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,0,0,0,0,
,,,10. Quỹ khác thuộc vốn chủ sở hữu,,0,0,0,0,
,,,11. Lợi nhuận sau thuế chưa phân phối,,1949654,1605081,1045273,884565,
,,,,- LNST chưa phân phối lũy kế đến cuối kỳ trước,920612,670845,29482,98781,
,,,,- LNST chưa phân phối kỳ này,1029042,934236,1015791,785785,
,,,12. Nguồn vốn đầu tư XDCB,,0,0,0,0,
,,,13. Lợi ích cổ đông không kiểm soát,,0,0,0,0,
,,,14. Quỹ dự phòng tài chính,,0,0,0,0,
,,II. Nguồn kinh phí và quỹ khác,,,0,0,0,0,
,,,1. Nguồn kinh phí,,0,0,0,0,
,,,2. Nguồn kinh phí đã hình thành TSCĐ,,0,0,0,0,
,C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,0,0,0,0,
TỔNG CỘNG NGUỒN VỐN,,,,,10619017,8483146,8602964,6437896,
